"ID;""RegioS"";""Perioden"";""PrijsindexVerkoopprijzen_1"";""OntwikkelingTOVVoorgaandePeriode_2"";""OntwikkelingTOVEenJaarEerder_3"";""VerkochteWoningen_4"";""OntwikkelingTOVVoorgaandePeriode_5"";""OntwikkelingTOVEenJaarEerder_6"";""GemiddeldeVerkoopprijs_7"";""TotaleWaardeVerkoopprijzen_8"""
"156;""LD01"";""2001JJ00"";""    86.8"";""    13.3"";""    13.3"";""   20923"";""    -0.5"";""    -0.5"";""  143439"";""    3001"""
"157;""LD01"";""2002KW01"";""    91.0"";""     1.7"";""     9.4"";""    4653"";""   -21.2"";""    14.8"";""  150956"";""     702"""
"158;""LD01"";""2002KW02"";""    92.6"";""     1.7"";""     7.9"";""    5282"";""    13.5"";""     0.1"";""  153804"";""     812"""
"159;""LD01"";""2002KW03"";""    94.7"";""     2.3"";""     7.0"";""    5519"";""     4.5"";""    -2.9"";""  159833"";""     882"""
"160;""LD01"";""2002KW04"";""    94.6"";""    -0.1"";""     5.7"";""    5454"";""    -1.2"";""    -7.7"";""  158107"";""     862"""
"161;""LD01"";""2002JJ00"";""    93.2"";""     7.5"";""     7.5"";""   20908"";""    -0.1"";""    -0.1"";""  155884"";""    3259"""
"162;""LD01"";""2003KW01"";""    97.0"";""     2.5"";""     6.5"";""    4065"";""   -25.5"";""   -12.6"";""  159669"";""     649"""
"163;""LD01"";""2003KW02"";""    98.5"";""     1.6"";""     6.4"";""    5035"";""    23.9"";""    -4.7"";""  161647"";""     814"""
"164;""LD01"";""2003KW03"";""    98.9"";""     0.4"";""     4.5"";""    5487"";""     9.0"";""    -0.6"";""  158940"";""     872"""
"165;""LD01"";""2003KW04"";""   100.1"";""     1.1"";""     5.8"";""    5913"";""     7.8"";""     8.4"";""  164101"";""     970"""
"166;""LD01"";""2003JJ00"";""    98.6"";""     5.8"";""     5.8"";""   20500"";""    -2.0"";""    -2.0"";""  161238"";""    3305"""
"167;""LD01"";""2004KW01"";""   101.9"";""     1.8"";""     5.1"";""    3964"";""   -33.0"";""    -2.5"";""  163613"";""     649"""
"168;""LD01"";""2004KW02"";""   103.1"";""     1.2"";""     4.6"";""    5057"";""    27.6"";""     0.4"";""  169139"";""     855"""
"169;""LD01"";""2004KW03"";""   105.5"";""     2.4"";""     6.7"";""    5297"";""     4.7"";""    -3.5"";""  173895"";""     921"""
"170;""LD01"";""2004KW04"";""   105.9"";""     0.4"";""     5.8"";""    5691"";""     7.4"";""    -3.8"";""  169703"";""     966"""
"171;""LD01"";""2004JJ00"";""   104.1"";""     5.6"";""     5.6"";""   20009"";""    -2.4"";""    -2.4"";""  169464"";""    3391"""
"172;""LD01"";""2005KW01"";""   107.3"";""     1.3"";""     5.3"";""    4082"";""   -28.3"";""     3.0"";""  171724"";""     701"""
"173;""LD01"";""2005KW02"";""   109.1"";""     1.7"";""     5.8"";""    5184"";""    27.0"";""     2.5"";""  178307"";""     924"""
"174;""LD01"";""2005KW03"";""   111.4"";""     2.1"";""     5.5"";""    5801"";""    11.9"";""     9.5"";""  184672"";""    1071"""
"175;""LD01"";""2005KW04"";""   111.9"";""     0.5"";""     5.7"";""    5898"";""     1.7"";""     3.6"";""  180121"";""    1062"""
"176;""LD01"";""2005JJ00"";""   109.9"";""     5.6"";""     5.6"";""   20965"";""     4.8"";""     4.8"";""  179297"";""    3759"""
"177;""LD01"";""2006KW01"";""   113.8"";""     1.7"";""     6.1"";""    4764"";""   -19.2"";""    16.7"";""  185937"";""     886"""
"178;""LD01"";""2006KW02"";""   115.6"";""     1.5"";""     5.9"";""    5417"";""    13.7"";""     4.5"";""  187942"";""    1018"""
"179;""LD01"";""2006KW03"";""   116.7"";""     1.0"";""     4.8"";""    5572"";""     2.9"";""    -3.9"";""  195930"";""    1092"""
"180;""LD01"";""2006KW04"";""   117.5"";""     0.7"";""     5.0"";""    5649"";""     1.4"";""    -4.2"";""  192499"";""    1087"""
"181;""LD01"";""2006JJ00"";""   115.9"";""     5.4"";""     5.4"";""   21402"";""     2.1"";""     2.1"";""  190778"";""    4083"""
